Country;Capital;Square;Population;Continent
Australia;Canberra;7686850;24238610;Australia and Oceania
Algeria;Algeria;2381740;39813722;Africa
Angola;Luanda;1246700;25831000;Africa
Argentina;Buenos Aires;2766890;43847000;South America
Afghanistan;Kabul;647500;29822848;Asia
Bangladesh;Dhaka;144000;160221000;Asia
Belarus;Minsk;207595;9498400;Europe
Benin;Porto Novo;112620;11167000;Africa
Bulgaria;Sophia;110910;7153784;Europe
Bolivia;Sucre;1098580;10985059;South America
Botswana;Gaborone;600370;2209208;Africa
Brazil;Brasilia;8511965;206081432;South America
Burkina Faso;Ouagadougou;274200;19034397;Africa
Great Britain;London;24482065;341183;Europe
Venezuela;Caracas;912050;31028637;South America
Vietnam;Hanoi;329560;91713300;Asia
Gabon;Libreville;267667;1811079;Africa
Guyana;Georgetown;214970;741962;South America
Ghana;Accra;238540;28308301;Africa
Guatemala;Guatemala;108890;16555556;North America
Guinea;Conakry;245857;10628972;Africa
Germany;Berlin;357021;82175684;Europe
Honduras;Tegucigalpa;112090;8721014;North America
Greece;Athens;131940;10793526;Europe
DR Congo;Kinshasa;2345410;85026000;Africa
Egypt;Cairo;1001450;91701723;Africa
Zambia;Lusaka;752614;16717000;Africa
Zimbabwe;Harare;390580;15967000;Africa
India;New Delhi;3287590;1268961000;Asia
Indonesia;Jakarta;1904556;255461700;Asia
Iraq;Baghdad;437072;37883543;Asia
Iran;Tehran;1648000;80840713;Asia
Iceland;Reykjavik;103000;332529;Europe
Spain;Madrid;497304;46438422;Europe
Italy;Rome;301340;60665551;Europe
Yemen;Sana;527970;27478000;Asia
Kazakhstan;Nur-Sultan;2724900;17753200;Asia
Cambodia;Phnom Penh;181040;15827000;Asia
Cameroon;Yaunde;475440;23924000;Africa
Canada;Ottawa;9976139;36286425;North America
Kenya;Nairobi;582650;44156577;Africa
Kyrgyzstan;Bishkek;198500;6019500;Asia
China;Beijing;9640821;1410549741;Asia
North KOREA;Pyongyang;120540;25281000;Asia
Colombia;Bogota;1138910;48892070;South America
Ivory Coast;Yamoussoukro;322460;23254000;Africa
Cuba;Havana;110860;11236348;North America
Laos;Vientiane;236800;6492400;Asia
Liberia;Monrovia;111370;4001855;Africa
Libya;Tripoli;1759540;6244174;Africa
Mauritania;Nouakchott;1030700;3537368;Africa
Madagascar;Antananarivo;587040;24430325;Africa
Malawi;Lilongwe;118480;17377468;Africa
Malaysia;Kuala Lumpur;329750;31790277;Asia
Mali;Bamako;1240000;18135000;Africa
Morocco;Rabat;446550;34817000;Africa
Mexico;Mexico City;1972550;122273473;North America
Mozambique;Maputo;801590;26423623;Africa
Mongolia;Ulaanbaatar;1564116;3081677;Asia
Myanmar;Naypyidaw;678500;51419420;Asia
Namibia;Windhoek;825418;2436469;Africa
Nepal;Kathmandu;140800;28431494;Asia
Niger;Niamey;1267000;20715000;Africa
Nigeria;Abuja;923768;186988000;Africa
Nicaragua;Managua;129494;6262703;North America
New Zealand;Wellington;268680;4722321;Australia and Oceania
Norway;Oslo;385186;5213985;Europe
Oman;Muscat;309500;4523401;Asia
Pakistan;Islamabad;881913;196174380;Asia
Papua New Guinea;Port Moresby;463840;8151300;Australia and Oceania
Paraguay;Asuncion;406750;6854536;South America
Peru;Lima;1285220;31488625;South America
Poland;Warsaw;312685;37967209;Europe
Republic of the Congo;Brazzaville;342000;4741000;Africa
Russia;Moscow;17102345;146544700;Europe
Romania;Bucharest;237500;19759968;Europe
Saudi Arabia;Riyadh;2218000;31015999;Asia
Senegal;Dakar;196190;14799859;Africa
Syria;Damascus;185180;17185170;Asia
Somalia;Mogadishu;637657;12316895;Africa
Sudan;Khartoum;1886068;41176000;Africa
Suriname;Paramaribo;163270;558773;South America
USA;Washington;9522057;322762018;North America
Tadjikistan;Dushanbe;143100;8551000;Asia
Thailand;Bangkok;514000;68147000;Asia
Tanzania;Dodoma;948087;50142938;Africa
Tunisia;Tunisia;163610;11154372;Africa
Turkmenistan;Ashgabat;491200;5439000;Asia
Turkey;Ankara;780580;78741053;Asia
Uganda;Kampala;236040;36860700;Africa
Uzbekistan;Tashkent;447400;31807000;Asia
Ukraine;Kyiv;576604;42650186;Europe
Uruguay;Montevideo;176220;3480222;South America
Philippines;Manila;300000;102980480;Asia
Finland;Helsinki;337030;5487308;Europe
France;Paris;547030;64513242;Europe
TSAR;Bangi;622984;5277959;Africa
Chad;N 'Djamena;1284000;14497000;Africa
Chile;Santiago;756950;18006407;South America
Sweden;Stockholm;449964;9851017;Europe
Ecuador;Quito;283560;16599593;South America
Eritrea;Asmara;121320;5352000;Africa
Ethiopia;Addis Ababa;1127127;101853000;Africa
South AFRICA;Pretoria;1219912;55908900;Africa
South Sudan;Juba;619745;12733000;Africa
Japan;Tokyo;377944;127103388;Asia
Azawad;Tombouctou;822000;1295000;Africa
Shan State;Taunji;155800;4702000;Asia
Puntland;Garoue;212510;3900000;Africa
Sahrawi Arab Democratic Republic;El Ayoun;266000;584000;Africa
Somaliland;Hargeisa;137600;3515380;Africa
Antarctica;-;14107000;4000;Antarctica
Greenland;Nuuk;2166086;57728;North America
